Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2018","2018","kg/ha","66603.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2018","2018","t","17945203.68","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2018","2018","ha","154684","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2018","2018","kg/ha","10160.8","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2018","2018","t","1571708.5","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2018","2018","ha","7570741","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2018","2018","kg/ha","5818","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2018","2018","t","44046249.56","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2018","2018","ha","1032598","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2018","2018","kg/ha","4720.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2018","2018","t","4874054.16","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2019","2019","ha","517775","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2019","2019","kg/ha","19651.1","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2019","2019","t","10174858.09","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2019","2019","ha","237800","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2019","2019","kg/ha","65961.4","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2019","2019","t","15685617.75","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2019","2019","ha","158959","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2019","2019","kg/ha","10550.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2019","2019","t","1677043.77","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2019","2019","ha","7451544","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2019","2019","kg/ha","5837.1","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2019","2019","t","43495487.58","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2019","2019","ha","985162","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2019","2019","kg/ha","4803.4","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2019","2019","t","4732148.6","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2020","2020","ha","524483","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2020","2020","kg/ha","20027.7","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2020","2020","t","10504202.97","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2020","2020","ha","185435","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2020","2020","kg/ha","62203","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2020","2020","t","11534588.71","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2020","2020","ha","163636","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2020","2020","kg/ha","10515.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2020","2020","t","1720660.52","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2020","2020","ha","7222403","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2020","2020","kg/ha","5921.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2020","2020","t","42764999.76","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2020","2020","ha","939563","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2020","2020","kg/ha","4851.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2020","2020","t","4558107.16","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2021","2021","ha","524549","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2021","2021","kg/ha","20142.2","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2021","2021","t","10565589.17","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2021","2021","ha","165919","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2021","2021","kg/ha","64735.5","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2021","2021","t","10740873.28","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2021","2021","ha","167695","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2021","2021","kg/ha","11131.5","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2021","2021","t","1866699.56","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2021","2021","ha","7219797","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2021","2021","kg/ha","6074","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2021","2021","t","43852728.69","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2021","2021","ha","900673","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2021","2021","kg/ha","4936.7","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2021","2021","t","4446383.17","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2022","2022","ha","528891","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2022","2022","kg/ha","20092.7","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2022","2022","t","10626861.72","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2022","2022","ha","169457","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2022","2022","kg/ha","65438.3","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2022","2022","t","11088957.08","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2022","2022","ha","172729","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2022","2022","kg/ha","11137","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2022","2022","t","1923681.45","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2022","2022","ha","7088853","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2022","2022","kg/ha","6018","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2022","2022","t","42660798.11","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2022","2022","ha","885435","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2022","2022","kg/ha","4995.7","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","56","Maize (corn)","2022","2022","t","4423352.38","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","125","Cassava, fresh","2023","2023","ha","512303","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","125","Cassava, fresh","2023","2023","kg/ha","20376.9","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","125","Cassava, fresh","2023","2023","t","10439174","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","156","Sugar cane","2023","2023","ha","174816","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","156","Sugar cane","2023","2023","kg/ha","67749.9","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","156","Sugar cane","2023","2023","t","11843772.9","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","249","Coconuts, in shell","2023","2023","ha","177702","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","249","Coconuts, in shell","2023","2023","kg/ha","11997.8","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","249","Coconuts, in shell","2023","2023","t","2132034.1","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","27","Rice","2023","2023","ha","7115058","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","27","Rice","2023","2023","kg/ha","6113.5","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5510","Production","27","Rice","2023","2023","t","43497624.81","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5312","Area harvested","56","Maize (corn)","2023","2023","ha","880209","A","Official figure",""
"QCL","Crops and livestock products","237","Viet Nam","5412","Yield","56","Maize (corn)","2023","2023","kg/ha","5041.1","A","Official figure",""
