Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2015","2015","m3","53335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2015","2015","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2016","2016","m3","52135420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2016","2016","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2017","2017","m3","53835420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2017","2017","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2018","2018","m3","57335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2018","2018","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2019","2019","m3","57335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2019","2019","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2020","2020","m3","61335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2020","2020","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2021","2021","m3","66335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2021","2021","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2022","2022","m3","65335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2022","2022","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2023","2023","m3","65335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2023","2023","m3","20000000","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1861","Roundwood","2024","2024","m3","65335420","E","Estimated value",""
"FO","Forestry Production and Trade","237","Viet Nam","5516","Production","1864","Wood fuel","2024","2024","m3","20000000","E","Estimated value",""
